site,mod_lat,mod_lon,paleo_lat,paleo_lon,mean,2sigma,loc,mle,3x,1.5x,COSMOS Mid Miocene 278ppm,COSMOS Mid Miocene 450ppm,HadCM3L Mid Miocene 90SLE 280ppm,HadCM3L Mid Miocene 90SLE 400ppm,HadCM3L Mid Miocene 90SLE 560ppm,HadCM3L Mid Miocene 90SLE 850ppm,HadCM3L Mid Miocene 55SLE 280ppm,HadCM3L Mid Miocene 55SLE 400ppm,HadCM3L Mid Miocene 55SLE 560ppm,HadCM3L Mid Miocene 55SLE 850ppm,HadCM3L Mid Miocene NoICE 280ppm,HadCM3L Mid Miocene NoICE 400ppm,HadCM3L Mid Miocene NoICE 560ppm,HadCM3L Mid Miocene NoICE 850ppm
608,43.0,337.0,41.305695405444695,334.8848327740995,28.67142857142857,3.0,NA,20.777668,22.158453,18.606844,15.094159,18.298054,12.360223,14.985606,17.239933,19.623562,12.207296,14.897222,17.04324,19.366398,11.835557,14.946019,17.409588,19.69112
608,43.0,337.0,41.305695405444695,334.8848327740995,28.94761904761905,8.826190476190476,NA,20.777668,22.158453,18.606844,15.094159,18.298054,12.360223,14.985606,17.239933,19.623562,12.207296,14.897222,17.04324,19.366398,11.835557,14.946019,17.409588,19.69112
730,7.699999999999999,57.69999999999999,6.321501957113266,55.401805272244246,32.65,4.149999999999999,default,32.67424,33.858166,30.812918,28.915436,32.321854,28.086355,29.886532,31.154375,32.82226,28.03256,29.787048,31.043503,32.78599,27.790667,29.741713,31.211994,33.036434
761,-16.0,115.0,-23.369629008501462,110.41259936131354,29.168965517241386,4.0,default,29.977371,31.124659,28.173645,26.619183,29.599483,25.476358,27.156929,28.137732,29.422258,25.424152,26.924469,27.656902,29.101154,25.15472,26.89867,28.081642,29.63914
925,4.0,317.0,2.492231465747542,319.4334307548121,28.07499847058596,3.0,default,31.29379,32.410572,29.538027,27.866808,31.044352,28.502361,30.417921,31.6896,32.97445,28.341806,30.257372,31.43413,32.76678,28.250362,30.204742,31.619667,33.240456
925,4.0,317.0,2.492231465747542,319.4334307548121,28.05140060978537,5.0,default,31.29379,32.410572,29.538027,27.866808,31.044352,28.502361,30.417921,31.6896,32.97445,28.341806,30.257372,31.43413,32.76678,28.250362,30.204742,31.619667,33.240456
926,3.0000000000000004,318.0,1.5133984183445088,320.4529542762479,27.765815499410625,4.0,default,31.468699,32.59366,29.700079,27.951183,31.120142,28.487812,30.390615,31.626139,32.886806,28.313482,30.224016,31.365425,32.662663,28.22481,30.179243,31.557526,33.16158
982,58.00000000000001,344.0,56.3877408328845,341.19225057838196,27.532130472706744,3.0,NA,13.126315,14.743321,10.584115,9.37872,12.097275,3.4459083,5.5304313,7.061095,9.693365,3.37513,5.1675706,7.4454756,9.8766985,3.4528716,5.32325,7.282241,10.07236
982,58.00000000000001,344.0,56.3877408328845,341.19225057838196,25.374272669034795,5.965994102102426,NA,13.126315,14.743321,10.584115,9.37872,12.097275,3.4459083,5.5304313,7.061095,9.693365,3.37513,5.1675706,7.4454756,9.8766985,3.4528716,5.32325,7.282241,10.07236
982,58.00000000000001,344.0,56.3877408328845,341.19225057838196,23.69815993726973,1.0,NA,13.126315,14.743321,10.584115,9.37872,12.097275,3.4459083,5.5304313,7.061095,9.693365,3.37513,5.1675706,7.4454756,9.8766985,3.4528716,5.32325,7.282241,10.07236
1146,19.0,116.0,20.680932205929203,114.20420257768217,27.78477651515153,4.0,default,30.417183,31.355162,28.942528,28.341156,30.672976,26.969986,28.63592,29.806793,31.032423,26.92626,28.554832,29.726366,31.15467,26.974651,28.576414,29.859907,31.337816
U1338,2.51,242.03000000000003,-0.8891051957328173,252.76212103491588,28.74127763151717,3.0,default,28.68963,30.2292,26.269175,23.01216,26.734108,24.979189,27.272572,28.899372,30.763489,24.744211,27.115076,28.828066,30.802053,24.7394,27.035831,28.973482,31.103619
U1356,-62.99999999999999,136.0,-61.92988722851527,133.37212068267615,17.4,5.0,default,12.59223,14.029133,10.33318,1.976007,5.2116804,2.174059,4.0474873,4.075691,4.9198885,2.4158301,3.5807528,3.7075176,4.1377816,2.4038408,4.002597,4.6658864,6.0451374
1171,-49.00000000000001,149.0,-55.87725785894714,149.00548117931982,16.619626168224304,4.0,default,15.424582,16.756899,13.32996,5.981516,8.868695,5.505263,7.096583,7.5844293,8.66872,5.7510767,7.051762,7.3023853,8.199683,5.560202,7.2055383,8.051227,9.703383
AND2A,-77.99999999999999,165.0,-77.25673111019822,159.1670718492237,5.77,5.0,default,7.7098083,9.489841,4.911303,-1.9303904,-1.6540743,-0.89317256,-0.31098232,0.29502508,0.70659083,-0.9638921,-0.33871987,0.021931712,0.54185253,0.44423887,1.0640191,1.4882236,2.2620475
884,51.45,168.33000000000004,48.29115409254261,182.12571763103682,20.1816,3.0,NP,15.048063,16.471922,12.809524,8.710141,11.182007,6.034401,9.184947,11.126714,12.902737,5.815059,8.594417,10.677059,12.798459,6.157938,8.919569,10.939026,13.3183565
959,3.627,357.265,1.610406326324654,355.1756819924846,30.0018,6.0,default,32.82205,33.88323,31.1537,28.713081,31.881933,29.296274,30.7939,31.762028,33.005856,28.956072,30.520205,31.594925,32.758102,28.990993,30.7722,31.815916,33.36539
