,dGMST
3x,9.065370372781054
1.5x,5.057218621590316
COSMOS Late Miocene 278ppm,3.0796685218811035
COSMOS Late Miocene 450ppm,6.847229957580566
COSMOS Late Miocene ICEQ 278ppm,2.338287830352783
COSMOS Late Miocene ICEQ 450ppm,6.156517028808594
HadCM3L Late Miocene 280ppm,0.3331387937068939
HadCM3L Late Miocene 400ppm,2.876962661743164
HadCM3L Tortonian 400ppm,2.412762403488159
HadCM3L Messinian 400ppm,2.4504244327545166
NorESM-L 10Ma 350ppm,1.7859212160110474
NorESM-L 10Ma 560ppm,4.743577480316162
CCSM-NH3 355ppm,2.439183235168457
CCSM-NH3 560ppm,4.000351428985596
CCSM3 T42 MMCO 400ppm,4.134131908416748
CCSM3 T42 MMCO 200ppm,1.6131644248962402
CCSM3 T42 MMG 200ppm,1.6500861644744873
CCSM3 T42 MMG 400ppm,4.115245342254639
CCSM4 400ppm,5.1056294441223145
CESM1 400ppm,3.9555234909057617
COSMOS Mid Miocene 278ppm,2.3387162685394287
COSMOS Mid Miocene 450ppm,5.988988876342773
HadCM3L Mid Miocene 90SLE 280ppm,1.4344061613082886
HadCM3L Mid Miocene 90SLE 400ppm,3.999683141708374
HadCM3L Mid Miocene 90SLE 560ppm,5.637104034423828
HadCM3L Mid Miocene 90SLE 850ppm,7.573494911193848
HadCM3L Mid Miocene 55SLE 280ppm,1.3922113180160522
HadCM3L Mid Miocene 55SLE 400ppm,3.884079694747925
HadCM3L Mid Miocene 55SLE 560ppm,5.584007740020752
HadCM3L Mid Miocene 55SLE 850ppm,7.528100490570068
HadCM3L Mid Miocene NoICE 280ppm,1.7346254587173462
HadCM3L Mid Miocene NoICE 400ppm,4.371011734008789
HadCM3L Mid Miocene NoICE 560ppm,6.245951175689697
HadCM3L Mid Miocene NoICE 850ppm,8.50973129272461
HadCM3L Langhian 280ppm,0.13030362129211426
HadCM3L Langhian 400ppm,2.251970052719116
HadCM3L Langhian 560ppm,3.9987456798553467
IPSLCM 20Ma 420ppm,4.305578231811523
IPSLCM 20Ma 560ppm,5.80325174331665
IPSLCM 20Ma 840ppm,8.660236358642578
IPSLCM 20Ma NoGIS 560ppm,5.947848320007324
NorESM-L 20Ma 350ppm,4.152392387390137
NorESM-L 20Ma 560ppm,5.4266791343688965
