,GMST,dGMST
3x,24.29585910560866,9.06537037278106
1.5x,20.287707354417915,5.057218621590316
PI,15.230488732827599,
COSMOS Late Miocene 278ppm,17.820184326171898,3.0796685218811035
COSMOS Late Miocene 450ppm,21.587731933593773,6.847229957580566
COSMOS Late Miocene ICEQ 278ppm,17.078790283203148,2.338287830352783
COSMOS Late Miocene ICEQ 450ppm,20.897027587890648,6.156517028808594
HadCM3L Late Miocene 280ppm,14.165795898437523,0.3331387937068939
HadCM3L Late Miocene 400ppm,16.709619140625023,2.876962661743164
HadCM3L Tortonian 400ppm,16.486169433593773,2.412762403488159
HadCM3L Messinian 400ppm,16.523828125000023,2.4504244327545166
NorESM-L 10Ma 350ppm,15.310540771484398,1.7859212160110474
NorESM-L 10Ma 560ppm,18.268182373046898,4.743577480316162
CCSM-NH3 355ppm,15.369592285156273,2.439183235168457
CCSM-NH3 560ppm,16.930749511718773,4.000351428985596
CCSM3 T42 MMCO 400ppm,17.240411376953148,4.134131908416748
CCSM3 T42 MMCO 200ppm,14.719445800781273,1.6131644248962402
CCSM3 T42 MMG 200ppm,14.756372070312523,1.6500861644744873
CCSM3 T42 MMG 400ppm,17.221520996093773,4.115245342254639
CCSM4 400ppm,19.655358886718773,5.1056294441223145
CESM1 400ppm,18.225518798828148,3.9555234909057617
COSMOS Mid Miocene 278ppm,16.789758300781273,2.3387162685394287
COSMOS Mid Miocene 450ppm,20.440026855468773,5.988988876342773
HadCM3L Mid Miocene 90SLE 280ppm,15.267053222656273,1.4344061613082886
HadCM3L Mid Miocene 90SLE 400ppm,17.832330322265648,3.999683141708374
HadCM3L Mid Miocene 90SLE 560ppm,19.469750976562523,5.637104034423828
HadCM3L Mid Miocene 90SLE 850ppm,21.406152343750023,7.573494911193848
HadCM3L Mid Miocene 55SLE 280ppm,15.224847412109398,1.3922113180160522
HadCM3L Mid Miocene 55SLE 400ppm,17.716729736328148,3.884079694747925
HadCM3L Mid Miocene 55SLE 560ppm,19.416650390625023,5.584007740020752
HadCM3L Mid Miocene 55SLE 850ppm,21.360742187500023,7.528100490570068
HadCM3L Mid Miocene NoICE 280ppm,15.567285156250023,1.7346254587173462
HadCM3L Mid Miocene NoICE 400ppm,18.203668212890648,4.371011734008789
HadCM3L Mid Miocene NoICE 560ppm,20.078607177734398,6.245951175689697
HadCM3L Mid Miocene NoICE 850ppm,22.342370605468773,8.50973129272461
HadCM3L Langhian 280ppm,14.203698730468773,0.13030362129211426
HadCM3L Langhian 400ppm,16.325372314453148,2.251970052719116
HadCM3L Langhian 560ppm,18.072137451171898,3.9987456798553467
IPSLCM 20Ma 420ppm,18.555627441406273,4.305578231811523
IPSLCM 20Ma 560ppm,20.053308105468773,5.80325174331665
IPSLCM 20Ma 840ppm,22.910302734375023,8.660236358642578
IPSLCM 20Ma NoGIS 560ppm,20.197900390625023,5.947848320007324
NorESM-L 20Ma 350ppm,17.677026367187523,4.152392387390137
NorESM-L 20Ma 560ppm,18.951287841796898,5.4266791343688965
